Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,World,WLD,18.24210334,17.21847857,16.77975136,16.6255944,16.50093781,16.31341692,16.28246199,16.24586797,16.00517676,15.40066263,15.91554168,16.03488413,16.01711635,15.86369598,15.98736225,16.44123334,16.25111643,16.31133561,16.44000996,16.03414436,16.04060511,16.5196343,16.33397463
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Afghanistan,AFG,..,..,..,3.697849883,4.160772742,3.279537341,3.194608045,4.537191732,2.34623542,5.296290218,3.840391435,3.057431242,6.035906734,2.285861967,-1.836502527,0.409391083,1.087939525,18.12296895,22.92105994,6.44963648,-3.537012389,-10.3054858,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Albania,ALB,6.938227616,5.757589546,4.178212765,19.30234425,6.021251576,13.88564378,13.02857459,12.65447252,-5.029134655,2.893908549,11.57643343,10.47094856,-15.65725155,9.84520837,9.373444596,4.96158042,4.54104021,12.43335925,6.25848397,5.596976142,-4.110790269,11.13914071,7.087138629
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Algeria,DZA,3.500850872,-1.114874865,4.113677436,7.420212322,2.920560832,5.239924375,-2.461958821,-0.59602631,-2.417393235,-6.69026293,-1.564926381,-2.529985243,-2.700327296,-5.061351026,-0.169820416,0.787307097,6.919609519,-1.018211303,-4.60325803,-3.481540648,-9.049748528,9.057720801,0.289434264
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,American Samoa,ASM,..,..,..,-1.587301587,-4.838709677,11.01694915,-3.053435115,3.937007874,0,-20.45454545,-11.42857143,-8.602150538,4.705882353,-1.123595506,3.409090909,15.38461538,-0.952380952,-20.19230769,16.86746988,-4.12371134,16.12903226,-32.40740741,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Andorra,AND,..,-2.569144056,4.143683573,14.30047797,9.31283906,0.248138958,3.558168317,0.487999203,-0.624380575,-4.368205844,0.406716029,-1.059410054,-3.348729792,-0.575648963,-1.813414901,2.247441032,4.689880305,0.550878287,-2.170767004,3.814454776,-9.740458015,..,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Angola,AGO,..,..,..,5.351670534,16.57560197,6.125295094,6.548329831,2.016556315,5.914604603,6.8,9.556309419,9.084108654,9.55983199,7.726161369,-9.917385384,12.02507407,11.63748898,1.179750834,0.571847274,-5.058760176,2.734218604,0.818082912,2.467835353
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Antigua and Barbuda,ATG,3,1.894387876,5.321868464,1.45631068,4.806437582,4.8765304,12.42580135,9.134107709,-9.127560071,10.6122449,-8.807957645,2.762139338,-12.40831296,2.35270661,4.529073731,3.14945956,7.000903342,5.006331786,8.506190706,1.452282158,-23.99941572,4.968287526,-1.318319143
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Argentina,ARG,-3.823218329,-7.36198741,-10.95522078,15.967188,11.97605611,7.423159239,9.099786373,7.533967506,3.62110045,-7.259824385,10.90794207,7.666609032,-2.913326286,1.503531672,-5.054047385,0.765932391,-5.601139739,2.57407049,-4.804922545,-6.15655049,-7.696452682,15.71426595,4.570723785
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Armenia,ARM,6.599999965,9.843238675,17.24922417,16.98315186,-2.543343972,8.838255442,-0.461356603,1.594811686,0.899999994,-7.111734998,12.09999998,13.70000001,4.099999991,7.7,5.999999993,-5.499999989,11.09999999,11.8,11.2,9.500000008,-4.000000002,2.6,11.4
